type,value,source
domain,aib-secure.online,public
domain,authaib.online,public
domain,365boi-secure.online,public
domain,standardbank.za-account.com,public
domain,boi.secure-365.online,public
domain,permanenttsb.ie-verify.online,public
domain,informationru.com,public
domain,permanenttsb.ie-secure.com,public
domain,permanenttsb.ie-apps.online,public
domain,boi.secured-365.online,public
domain,boi.secure365.ie-apps.services,public
domain,boi.ie-365secure.online,public
domain,boi.ie-verify.com,public
domain,amz.quest,public
domain,boi.ie-ie.online,public
domain,bbva.es-mi.cc,public
domain,365-secureboi.com,public
domain,boi.group-ie-live.com,public
domain,boi.ie-365verify.online,public
domain,boi.ie-secure365.com,public
domain,boi.ie-verify365.com,public
domain,1netflix-service.com,public
domain,boi-verify.online,public
domain,365-secure.online,public
domain,secure.365-ie.online,public
domain,es-app.online,public
domain,bbva.es-app.online,public
domain,bbva.mi-app.cc,public
domain,bbva.es-cc.info,public
domain,secureboi365-service.online,public
domain,my-online-support.com,public
domain,www.my-online-support.com,public
domain,log.my-online-support.com,public
domain,365secure-boi.info,public
domain,boi.365boiaccoutactivity.com,public
domain,bbva.es-cuenta.com,public
domain,securelink-verification.com,public
domain,etinteca73fc.cc,public
domain,securelink-transfer.com,public
domain,depositrefundcra.com,public
domain,bbva.app-es.cc,public
domain,aib.ie-online.services,public
domain,365boi-secure.info,public
domain,365boisecure.info,public
domain,rec4ptcha-sco19.online,public
domain,bbva.es-app.info,public
domain,azn3824.com,public
domain,365secureboi.info,public
domain,secureopen24-online.info,public
domain,boi-app.info,public
domain,cresavge7294.online,public
domain,telus-overcharge.ca,public
domain,telus-redirect.com,public
domain,boi-online365.info,public
domain,secure-aib.info,public
domain,365-online.in,public
domain,daserver3195.online,public
domain,bbva.esapp.cc,public
domain,n3tfl33ex.com,public
domain,caserkd7622.online,public
domain,deveslo5205.online,public
domain,365-secure.info,public
domain,365secure-online.info,public
domain,funndscollectionss.ca,public
domain,amazingre.fund,public
domain,bbva.es-mi.info,public
domain,boisecure.info,public
domain,554scotialine891.ca,public
domain,secureverifyscotia2231.ca,public
domain,cesver2822.online,public
domain,devosla0459.online,public
domain,client-r8f43.com,public
domain,amazaoncustomersec.com,public
domain,fundcollection2.fund,public
domain,processedrefund.com,public
domain,aib.ie-verify.services,public
domain,secureaib-online.info,public
domain,bbva.es-mi.co,public
domain,supportwebclients.com,public
domain,454paymentrefund21.fund,public
domain,fund22collections33.fund,public
domain,scotiaonline.duckdns.org,public
domain,permanenttsb.ie-open24co,public
domain,permanenttsb.ie-open24.co,public
domain,aibsecure-online.info,public
domain,open24-secureonline.info,public
domain,billrefund.live,public
domain,69vmbv.vps9.in,public
domain,secureweb.wiki,public
domain,accept.ink,public
domain,interact.hopto.org,public
domain,365online-boisecure.info,public
domain,permanenttsb.ie-open24.com,public
domain,interpaycan.ru,public
domain,canadagov.ddns.net,public
domain,365-boionline.info,public
domain,deposite.digital,public
domain,secure365-online.info,public
domain,open24-online.info,public
domain,id-sperret.com,public
domain,interac.services,public
domain,netflixtv.ca,public
domain,sperret-id.com,public
domain,deposite.live,public
domain,boimobile-365.info,public
domain,open24secure-online.info,public
domain,permanenttsb.ie-open24.info,public
domain,ptsb.ie-open24.info,public
domain,helpsaleservices.gq,public
domain,amazon.helponline.services,public
domain,helpsaleservices.ml,public
domain,permanenttsb-online.info,public
domain,bankid.cc,public
domain,aib.ie-suspended.online,public
domain,sperretsikkerhetid.com,public
domain,deposite.info,public
domain,websecure.live,public
domain,securedweb.live,public
domain,no.bank-id.cc,public
domain,carrierbilling.info,public
domain,transfproc.com,public
domain,nab.com-au.info,public
domain,cansafcust.com,public
domain,ptsb.ie-open24.in,public
domain,acceptyourfunds.com,public
domain,boftyy.com,public
domain,thankzx.sbs,public
domain,labsterr.com,public
domain,online-refbillclient.com,public
domain,online-infosclient.com,public
domain,aib.ie-access.info,public
domain,aib.ie-login.online,public
domain,bankid.pw,public
domain,aib.ie-secure.info,public
domain,idsikker.com,public
domain,bruckyy.com,public
domain,bosserss.com,public
domain,nab.com-au.pw,public
domain,ceserva7319.online,public
domain,secure-permanenttsb.info,public
domain,deolisva4280.online,public
domain,permanenttsb-secure.com,public
domain,amazon.onlineinfo.help,public
domain,bank-id.in,public
domain,celeser6104.online,public
domain,ptsb-ie.online,public
domain,winearnings.com,public
domain,secure-onlinepermanenttsb.info,public
domain,bank-id.no-no.in,public
